timestamp,ip,attack_type,confidence,action
2026-03-11 15:00:56.702414,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:56.703254,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.713834,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.714517,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.715173,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.715819,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.716646,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.717533,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.718263,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.718983,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.719577,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.720129,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.720686,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.721240,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.721795,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.722345,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.722900,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.723468,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.724022,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.724649,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.764191,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.764968,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.765674,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.784898,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.785691,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.786359,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.787027,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.787686,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.788348,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:56.811461,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:56.812185,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:56.830603,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:57.024266,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:57.026389,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.038069,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:57.039725,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.040947,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.042361,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.050152,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.051075,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.051756,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.054518,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.055336,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.055954,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.056535,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.057079,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.061610,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.062347,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.062881,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.063385,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.071167,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.071905,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.074018,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.074634,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.075293,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.079324,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.079854,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.091662,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.093525,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.094163,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.097745,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.098318,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.098882,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.099449,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.103332,172.217.70.207,intrusion,1.0,already_blocked
2026-03-11 15:00:57.103962,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.104507,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.105091,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.154567,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.450156,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.452846,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.485498,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.486370,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.520713,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.522122,192.168.0.1,intrusion,1.0,already_blocked
2026-03-11 15:00:57.523511,192.168.0.1,intrusion,1.0,already_blocked
2026-03-11 15:00:57.524246,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.524933,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.528631,192.168.0.1,intrusion,1.0,already_blocked
2026-03-11 15:00:57.545938,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.546774,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.553545,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.557534,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.559169,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.560121,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.560872,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.561588,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.562265,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.566814,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.568663,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.572550,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.573393,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.574247,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.575012,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.575743,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.576448,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.577129,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.577810,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.578457,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.582161,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.582755,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.583421,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.584000,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.603759,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.604443,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.605015,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.605552,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.606050,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.606555,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.607061,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.607554,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.608051,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.608708,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.609263,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.609786,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.610301,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.611129,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.611613,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.656874,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.657952,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.658663,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.659322,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.672339,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.673048,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.750179,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:57.752196,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:57.760890,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:57.762216,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.782418,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.784070,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.790853,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.793605,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.794918,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.796125,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.797168,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.798181,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.799215,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.806348,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.807976,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.809409,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.810467,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.904519,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:57.905543,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.936978,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.938343,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.939265,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.948213,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.949238,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.950129,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.950962,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.951755,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.952857,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.953437,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.953995,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:57.954531,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:57.978210,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.978904,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:57.979566,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.074653,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.076273,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.077463,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.102290,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.129633,17.248.221.24,intrusion,1.0,already_blocked
2026-03-11 15:00:58.311984,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.313655,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.417647,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.419567,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.985055,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.987089,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.988744,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.990210,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.991649,17.242.13.5,intrusion,1.0,already_blocked
2026-03-11 15:00:58.992886,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.994255,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.995509,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.996884,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:58.998124,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:58.999494,17.242.13.5,intrusion,1.0,already_blocked
2026-03-11 15:00:59.028872,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.030278,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.031555,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.032737,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.033805,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.034642,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.035353,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.036022,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.496797,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.498448,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.499718,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.501176,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.502397,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.629123,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.630471,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.631457,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.632624,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.633856,17.248.239.65,intrusion,1.0,already_blocked
2026-03-11 15:00:59.660312,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.721624,104.18.39.21,intrusion,1.0,already_blocked
2026-03-11 15:00:59.723207,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.724537,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.725537,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.727862,104.18.39.21,intrusion,1.0,already_blocked
2026-03-11 15:00:59.766686,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.768290,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.770388,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.771594,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.772609,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.773566,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.774523,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.775384,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.776335,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.777274,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.778137,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.778960,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:00:59.908636,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.910306,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.911450,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.912592,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.913714,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.914704,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.915821,51.104.15.253,intrusion,1.0,already_blocked
2026-03-11 15:00:59.916904,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.396840,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.824085,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.825625,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.826497,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.827171,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.827799,192.168.0.101,intrusion,1.0,already_blocked
2026-03-11 15:01:01.828387,192.168.0.101,intrusion,1.0,already_blocked
